gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2018020690,2019-01-12,53.483333333333334,4,2.5166666666666666,24,3,1,23,2,5,26,0,3,26,1,1,1,1,0,9,1,2,4,0,0,2,0,2,46,9,0,59,2,12,37,7,0,42,2,9,26,3,0,24,2,6,3,0,0,1,0,1,3,0,0,1,0,1,2,0,0,1,0,1,3,1,0,7,0,3,3,0,0,3,0,0,3,0,0,3,0,0
2018020705,2019-01-14,54.8,5.45,0,30,4,0,28,2,0,22,1,0,29,0,0,16,0,0,12,1,0,10,0,5,7,2,0,63,7,0,49,1,0,53,6,0,35,1,0,38,5,0,21,1,0,1,1,0,2,1,0,1,1,0,2,0,0,1,1,0,2,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0
2018020722,2019-01-16,47.7,9.416666666666666,2.8833333333333333,29,7,1,21,4,3,17,0,1,16,1,0,10,0,0,5,5,0,9,12,0,4,2,0,62,20,2,31,0,3,40,12,2,24,0,2,30,10,2,17,0,2,1,2,0,3,0,1,1,2,0,3,0,1,1,2,0,3,0,1,4,0,0,2,0,0,7,0,0,1,0,0,7,0,0,1,0,0
2018020726,2019-01-17,51.016666666666666,3.466666666666667,5.516666666666667,21,2,4,21,1,1,21,2,0,27,0,2,11,1,0,9,3,1,2,0,7,11,0,0,46,3,2,41,1,10,35,3,2,31,1,5,24,2,1,26,1,3,3,1,1,2,0,0,3,1,1,2,0,0,2,1,1,2,0,0,9,0,0,3,1,0,0,0,0,5,0,0,0,0,0,5,0,0
2018020742,2019-01-19,48.4,8.283333333333333,3.316666666666667,31,10,1,19,3,2,19,1,0,21,2,1,5,1,0,11,3,0,8,2,2,6,2,0,42,14,0,20,4,4,33,11,0,18,4,3,22,7,0,16,3,1,2,0,0,2,0,1,2,0,0,1,0,1,1,0,0,1,0,1,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2018020773,2019-01-29,57.38333333333333,5.533333333333333,2.0833333333333335,37,2,2,28,3,3,24,0,0,29,2,0,10,0,1,9,0,0,14,2,0,9,5,0,65,11,0,45,1,2,46,9,0,30,1,1,32,7,0,25,1,1,2,1,0,2,0,1,2,1,0,2,0,1,2,1,0,2,0,0,4,0,0,2,0,0,4,2,0,2,0,0,4,2,0,2,0,0
2018020778,2019-01-31,57.81666666666666,1.3,3.816666666666667,19,2,0,30,1,5,13,0,0,18,0,0,8,0,0,12,1,0,2,0,0,4,0,0,49,6,1,53,1,13,33,4,1,35,1,11,22,2,1,33,1,7,1,1,0,1,0,2,1,1,0,1,0,2,1,1,0,0,0,2,1,0,0,2,0,0,2,1,0,2,0,0,2,1,0,3,0,0
2018020802,2019-02-03,50.8,4.6,4.6,29,2,2,15,1,3,24,1,2,37,2,2,10,0,2,10,0,4,4,0,2,6,0,0,51,9,1,49,0,9,43,8,1,36,0,7,33,5,1,21,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,0,2,1,0,0,5,0,0,1,0,0,5,0,0
2018020809,2019-02-05,45.083333333333336,6,8.916666666666666,21,2,2,18,2,5,22,0,3,21,1,1,6,0,3,8,1,0,6,0,0,8,0,2,43,6,3,43,0,9,29,5,3,26,0,9,21,3,3,22,0,7,2,0,1,0,0,1,2,0,1,0,0,1,2,0,1,0,0,1,3,0,1,2,0,0,4,0,0,1,0,0,4,0,0,1,0,0
2018020822,2019-02-06,55.58333333333333,2.816666666666667,6.6,29,2,1,18,2,6,24,0,2,42,0,0,15,0,0,11,0,0,6,0,2,12,0,0,45,8,2,51,1,7,35,6,2,41,1,7,23,5,2,32,1,6,2,1,0,2,0,1,2,1,0,2,0,1,2,1,0,1,0,1,7,0,0,6,1,1,1,1,0,5,0,1,1,1,0,5,0,1
2018020838,2019-02-09,49.1,4.983333333333333,8.483333333333333,25,2,5,13,4,7,17,0,4,25,0,0,13,0,0,10,0,0,4,0,2,10,0,0,48,7,3,40,3,15,35,6,3,25,3,11,25,5,3,17,3,9,3,1,1,3,0,1,3,1,1,3,0,1,3,0,0,2,0,1,2,0,1,1,0,0,6,0,0,3,0,0,6,0,0,3,0,0
2018020853,2019-02-10,51.83333333333333,6.833333333333333,5.383333333333334,27,3,3,24,2,3,28,1,0,20,1,0,10,0,1,9,1,0,6,2,2,6,2,0,45,14,3,51,4,8,36,12,2,34,4,7,26,8,1,26,4,6,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,3,0,0,1,1,0,5,1,2,1,1,0,5,1,2
2018020863,2019-02-12,47.81666666666666,7,5.183333333333334,27,6,1,22,3,2,25,0,1,18,0,0,11,0,0,9,1,0,8,2,2,6,0,2,56,10,0,34,1,9,46,8,0,25,1,7,33,4,0,20,1,5,4,2,0,3,0,0,4,2,0,3,0,0,4,2,0,3,0,0,5,0,0,4,0,0,3,0,0,3,0,0,3,0,0,3,0,0
2018020891,2019-02-15,47.88333333333333,6.15,5.966666666666667,23,4,4,12,1,4,21,0,1,24,1,2,6,0,0,11,1,2,6,2,0,4,0,2,45,9,3,44,2,12,32,7,2,33,2,10,23,4,2,21,1,8,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,3,0,0,5,0,0,4,0,0,3,0,0,4,0,0,2,0,1
2018020903,2019-02-16,46.3,4,9.7,20,4,6,15,1,4,18,0,1,26,0,3,3,0,2,6,0,2,4,0,0,10,0,0,41,3,2,31,3,15,33,2,2,22,3,7,21,2,1,16,3,6,4,0,0,1,0,1,3,0,0,1,0,1,2,0,0,1,0,1,2,0,1,4,0,1,3,0,0,2,0,2,3,0,0,2,0,2
2018020915,2019-02-18,54.71666666666667,6.533333333333333,2.7333333333333334,26,2,2,26,6,1,20,2,2,22,2,0,9,0,1,5,1,0,8,0,7,11,0,0,34,5,0,54,7,5,26,5,0,44,7,4,15,5,0,28,6,4,4,2,0,3,0,2,4,2,0,3,0,1,3,2,0,2,0,1,1,0,0,7,2,0,2,1,0,4,0,0,2,1,0,4,1,0
2018020928,2019-02-20,55,6,4,28,3,2,22,4,4,24,0,0,38,0,0,8,0,1,6,1,2,6,0,0,2,0,2,47,6,0,60,4,12,32,3,0,43,4,9,26,1,0,26,3,4,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,0,0,2,1,0,5,0,0,2,1,0,5,0,0
