"task","candidate","modelFile","feature","gain","gainShare","rank"
"AAV%","XGBoost","aavP2.rds","oFenwickA_2_sh_p60_avg",0.000618160302094294,0.000618160302094294,71
"AAV%","XGBoost","aavP2.rds","dMP_2_sh_avg",0.000615537038217782,0.000615537038217782,72
"AAV%","XGBoost","aavP2.rds","dOFenwickF_2_sh_p60_avg",0.000606833783141553,0.000606833783141553,73
"AAV%","XGBoost","aavP2.rds","oCorsiA_2_sh_p60_avg",0.000604706224030398,0.000604706224030398,74
"AAV%","XGBoost","aavP2.rds","y_2_pp_p60_avg",0.000603967786613048,0.000603967786613048,75
"AAV%","XGBoost","aavP2.rds","x_2_sh_p60_avg",0.000602006355585417,0.000602006355585418,76
"AAV%","XGBoost","aavP2.rds","dHits_2_ev_p60_avg",0.000597457068164515,0.000597457068164515,77
"AAV%","XGBoost","aavP2.rds","iSOGF_2_sh_p60_avg",0.000594869163923292,0.000594869163923292,78
"AAV%","XGBoost","aavP2.rds","dIxGF_2_pp_p60_avg",0.000579765384228126,0.000579765384228126,79
"AAV%","XGBoost","aavP2.rds","dX_2_sh_p60_avg",0.000577324516738249,0.00057732451673825,80
"AAV%","XGBoost","aavP2.rds","hits_2_sh_p60_avg",0.000576000898888437,0.000576000898888437,81
"AAV%","XGBoost","aavP2.rds","ixGF_2_sh_p60_avg",0.000559468140156846,0.000559468140156846,82
"AAV%","XGBoost","aavP2.rds","dOCorsiF_2_sh_p60_avg",0.00054132199638828,0.000541321996388281,83
"AAV%","XGBoost","aavP2.rds","dOCorsiF_2_pp_p60_avg",0.000539860719985386,0.000539860719985386,84
"AAV%","XGBoost","aavP2.rds","dOFenwickF_2_pp_p60_avg",0.00053890715818338,0.00053890715818338,85
"AAV%","XGBoost","aavP2.rds","oFenwickA_2_pp_p60_avg",0.000520590053688307,0.000520590053688307,86
"AAV%","XGBoost","aavP2.rds","dOFenwickA_2_ev_p60_avg",0.000512373173027121,0.000512373173027121,87
"AAV%","XGBoost","aavP2.rds","assists_2_sh_p60_avg",0.000504935591932862,0.000504935591932862,88
"AAV%","XGBoost","aavP2.rds","dOCorsiA_2_sh_p60_avg",0.000504308018216413,0.000504308018216413,89
"AAV%","XGBoost","aavP2.rds","dOCorsiA_2_ev_p60_avg",0.000501761837387873,0.000501761837387873,90
"AAV%","XGBoost","aavP2.rds","oGA_2_sh_p60_avg",0.000501307616795447,0.000501307616795448,91
"AAV%","XGBoost","aavP2.rds","dOGA_2_ev_p60_avg",0.000500637649795011,0.000500637649795011,92
"AAV%","XGBoost","aavP2.rds","dOFenwickA_2_sh_p60_avg",0.000492142150519089,0.000492142150519089,93
"AAV%","XGBoost","aavP2.rds","dOFenwickA_2_pp_p60_avg",0.000490373020403811,0.000490373020403811,94
"AAV%","XGBoost","aavP2.rds","dY_2_pp_p60_avg",0.000488810114954428,0.000488810114954428,95
"AAV%","XGBoost","aavP2.rds","dOCorsiA_2_pp_p60_avg",0.000487554154106374,0.000487554154106375,96
"AAV%","XGBoost","aavP2.rds","iFenwickF_2_ev_p60_avg",0.00047702014075485,0.00047702014075485,97
"AAV%","XGBoost","aavP2.rds","dIxGF_2_ev_p60_avg",0.000476375581016035,0.000476375581016036,98
"AAV%","XGBoost","aavP2.rds","dOxGA_2_pp_p60_avg",0.000474526544823716,0.000474526544823716,99
"AAV%","XGBoost","aavP2.rds","dHits_2_sh_p60_avg",0.000466371053082796,0.000466371053082796,100
"AAV%","XGBoost","aavP2.rds","oSOGA_2_pp_p60_avg",0.000465409692064887,0.000465409692064887,101
"AAV%","XGBoost","aavP2.rds","oSOGA_2_sh_p60_avg",0.00046332328219101,0.00046332328219101,102
"AAV%","XGBoost","aavP2.rds","dICorsiF_2_sh_p60_avg",0.000459685450375828,0.000459685450375829,103
"AAV%","XGBoost","aavP2.rds","y_2_ev_p60_avg",0.000458452025912377,0.000458452025912377,104
"AAV%","XGBoost","aavP2.rds","dISOGF_2_pp_p60_avg",0.000452045711691451,0.000452045711691451,105
