playerId,playerFullName,gamesPlayed_20242025_2,timeOnIce_20242025_2,iFenwickA_20242025_2,iFenwickAper82_20242025_2,iFenwickAper60_20242025_2,iSOGA_20242025_2,iSOGAper82_20242025_2,iSOGAper60_20242025_2,iGA_20242025_2,iGAper82_20242025_2,iGAper60_20242025_2,ixGA_20242025_2,ixGAper82_20242025_2,ixGAper60_20242025_2,iGSaX_20242025_2,iGSaXper82_20242025_2,iGSaXper60_20242025_2,gamesPlayed_20242025_3,timeOnIce_20242025_3,iFenwickA_20242025_3,iFenwickAper82_20242025_3,iFenwickAper60_20242025_3,iSOGA_20242025_3,iSOGAper82_20242025_3,iSOGAper60_20242025_3,iGA_20242025_3,iGAper82_20242025_3,iGAper60_20242025_3,ixGA_20242025_3,ixGAper82_20242025_3,ixGAper60_20242025_3,iGSaX_20242025_3,iGSaXper82_20242025_3,iGSaXper60_20242025_3
8478492,Ilya Samsonov,29,1745.3666666666666,1273,3599.5172413793102,43.76157827390615,808,2284.689655172414,27.776398464506027,82,231.86206896551724,2.818891923378087,84.21953608072363,238.1379985730806,2.8951923176658685,2.2195360807236284,6.275929607563363,0.07630039428778158,0,0,0,0,0,808,Inf,Inf,0,0,0,0,0,0,0,0,0
8478499,Adin Hill,50,2940.2166666666667,2096,3437.44,42.77235804617573,1338,2194.32,27.304110241308745,121,198.44,2.4692057841542288,135.63580331322737,222.4427174336929,2.7678736370200525,14.63580331322737,24.002717433692887,0.29866785286582354,11,676.5,465,3466.3636363636365,41.24168514412417,1338,9974.181818181818,118.66962305986696,33,246,2.926829268292683,28.5155312132556,212.57032358972356,2.5290936774506076,-4.484468786744401,-33.42967641027644,-0.3977355908420755
8478848,Ales Stezka,1,58.333333333333336,59,4838,60.68571428571428,37,3034,38.05714285714286,3,246,3.085714285714286,3.9376441022614017,322.88681638543494,4.050148219468871,0.9376441022614017,76.88681638543494,0.9644339337545845,0,0,0,0,0,37,Inf,Inf,0,0,0,0,0,0,0,0,0
8478872,Karel Vejmelka,58,3368.3333333333335,2318,3277.1724137931033,41.2904502721425,1569,2218.241379310345,27.948540326571003,145,205,2.5828797624938145,169.47306668316014,239.59985289688157,3.018817615335856,24.47306668316014,34.59985289688158,0.43593785284204106,0,0,0,0,0,1569,Inf,Inf,0,0,0,0,0,0,0,0,0
8478905,Ivan Fedotov,26,1429.0166666666667,1040,3280,43.66639064158338,687,2166.6923076923076,28.845009971892093,75,236.53846153846155,3.1490185558834165,66.55485096608754,209.90376073919919,2.794432809016867,-8.445149033912458,-26.63470079926237,-0.3545857468665498,0,0,0,0,0,687,Inf,Inf,0,0,0,0,0,0,0,0,0
8478916,Joey Daccord,57,3295.25,2614,3760.4912280701756,47.59578180714665,1666,2396.7017543859647,30.334572490706318,151,217.22807017543857,2.749412032470981,168.43735290382756,242.31338487919052,3.0669118198102283,17.43735290382756,25.08531470375193,0.317499787339247,0,0,0,0,0,1666,Inf,Inf,0,0,0,0,0,0,0,0,0
8478971,Connor Ingram,22,1210.1166666666666,902,3362,44.72296059608578,599,2232.6363636363635,29.69961573952925,66,246,3.272411750933106,63.11038764886325,235.22962669121756,3.129139002243692,-2.8896123511367477,-10.770373308782423,-0.14327274868941414,0,0,0,0,0,599,Inf,Inf,0,0,0,0,0,0,0,0,0
8479193,Casey DeSmith,27,1504.5,1192,3620.148148148148,47.53738783649053,797,2420.5185185185187,31.784646061814556,65,197.40740740740742,2.5922233300099697,83.74372087110532,254.33278190483838,3.3397296459064933,18.743720871105324,56.92537449743099,0.7475063158965234,2,70.1,48,1968,41.08416547788874,797,32677,682.1683309557775,4,164,3.4236804564907275,3.0428239308530465,124.7557811649749,2.6044142061509676,-0.9571760691469535,-39.244218835025094,-0.8192662503397606
8479292,Charlie Lindgren,39,2287,1585,3332.5641025641025,41.582859641451684,1027,2159.333333333333,26.943594228246614,104,218.66666666666666,2.7284652383034542,109.27579875657102,229.75937174458522,2.8668770989918064,5.275798756571021,11.092705077918557,0.1384118606883521,1,6.616666666666666,7,574,63.476070528967256,1027,84214,9312.846347607054,1,82,9.068010075566752,0.37292572669684887,30.579909589141607,3.381694247125078,-0.6270742733031511,-51.42009041085839,-5.686315828441673
8479312,Alex Lyon,30,1559.6333333333334,1179,3222.6,45.356814635918695,766,2093.7333333333336,29.468464810104937,73,199.5333333333333,2.808352390519139,81.02156687405659,221.45894945575466,3.116946726224152,8.021566874056589,21.925616122421342,0.30859433570501316,0,0,0,0,0,766,Inf,Inf,0,0,0,0,0,0,0,0,0
8479361,Joseph Woll,42,2442.3333333333335,1892,3693.9047619047624,46.48014194076703,1259,2458.047619047619,30.92943906100723,111,216.71428571428572,2.726900504981575,126.205062325811,246.40035977896434,3.1004382719593258,15.205062325811,29.686074064678614,0.37353776697775076,7,387.43333333333334,350,4100,54.20287361266454,1259,14748.285714285714,194.9754796524133,23,269.42857142857144,3.5619031231179554,20.0898012786638,235.33767212149021,3.1112141703170297,-2.910198721336201,-34.09089930708121,-0.45068895280092586
